아파트,지역구,면적,거래금액,건축년도
삼익포레스트아파트,노원구,84.6,77500,1995.0
방화그린,강서구,39.76,52000,1993.0
대림e-편한세상,동대문구,84.972,122500,2003.0
극동,서대문구,84.92,53500,1995.0
포레나노원,노원구,84.972,119000,2020.0
관악산신도브래뉴,금천구,84.8,60000,2006.0
뉴파인,구로구,76.17,39000,2007.0
마곡중앙하이츠아파트,강서구,39.58,53000,1994.0
동진빌라(56-100),강서구,60.24,19500,1999.0
동부아파트,노원구,59.34,54900,1996.0
독립문극동(200-0),서대문구,84.87,154500,1998.0
독립문파크빌,서대문구,59.4,76000,2000.0
둔촌푸르지오,강동구,59.98,156500,2010.0
쌍용,동대문구,59.99,100800,2000.0
신촌포스빌,마포구,32.34,27000,2004.0
신정두산위브,양천구,59.78,106000,2012.0
신월시영,양천구,59.49,84500,1988.0
신월시영,양천구,50.67,75000,1988.0
석계역한일노벨리아시티,성북구,15.214,11000,2019.0
신월2차미소지움,양천구,83.74,73000,2005.0
신성,은평구,61.32,43500,1988.0
신사씨티,은평구,58.09,46000,1993.0
신사동한신휴플러스,은평구,59.76,68000,2003.0
신목동파라곤,양천구,84.958,119000,2024.0
신목동파라곤,양천구,74.634,105000,2024.0
신림푸르지오,관악구,84.79,92000,2005.0
신동아,성동구,59.97,146500,1995.0
신도1차아파트,노원구,81.276,85000,2002.0
양지마을(대림)1,노원구,114.96,118500,1998.0
신개봉삼환,구로구,59.81,62300,2001.0
쌍용,동대문구,59.99,98000,2000.0
성원1,노원구,59.75,78000,1996.0
송파파인타운2단지,송파구,84.95,172500,2008.0
성원상떼빌,노원구,84.99,67000,1999.0
대경아르체아파트,은평구,29.99,38200,2021.0
관악산휴먼시아1단지,관악구,59.96,63500,2008.0
한강삼성,마포구,59.97,175000,1997.0
청담자이,강남구,89.356,560000,2011.0
건영4,관악구,84.89,75000,1997.0
길음동동부센트레빌(1278-0),성북구,59.998,100000,2003.0
현대,중구,79.11,124000,1993.0
궁전,은평구,84.81,52000,1994.0
현대,강서구,84.62,85000,1995.0
남광쉐르빌(923-10),강서구,42.33,25000,2014.0
현대I-PARK,성동구,104.56,217500,2003.0
초안1,노원구,49.6,38000,1998.0
한신,도봉구,84.94,64500,1995.0
길음뉴타운4단지(e편한세상),성북구,59.97,106000,2005.0
관악드림(삼성),관악구,114.75,137000,2003.0
탑건진선미,양천구,83.15,65000,2004.0
관악드림(삼성),관악구,114.75,143200,2003.0
관음삼성,강서구,59.96,75000,1997.0
대림2,구로구,59.93,126300,2001.0
노원롯데캐슬시그니처,노원구,84.999,129200,2023.0
금천롯데캐슬골드파크3차,금천구,59.967,108000,2018.0
대림아파트(276),은평구,84.94,82000,1993.0
녹번역e편한세상캐슬,은평구,84.92,155000,2021.0
한가람,구로구,70.04,45000,2003.0
코오롱,성북구,59.94,83000,1999.0
코오롱아파트,송파구,84.95,215000,1991.0
극동늘푸른,노원구,84.514,69500,2000.0
천왕이펜하우스1단지,구로구,59.94,75000,2011.0
금호자이1차,성동구,59.99,189000,2012.0
구로두산,구로구,44.64,67700,1998.0
더샵 퍼스트월드,중랑구,98.947,154600,0.0
천왕이펜하우스4단지,구로구,84.97,74000,2011.0
녹번JR아파트,은평구,84.923,86500,2002.0
해링턴플레이스안암,성북구,49.56,81000,2024.0
한신,구로구,44.78,56000,1988.0
한신2,노원구,35.28,46000,1988.0
현대2,강서구,82.74,93000,1993.0
한진,구로구,59.95,62300,2000.0
대성유니드2차,양천구,59.95,71500,2004.0
우성1,영등포구,64.4,127000,1986.0
우성1,영등포구,52.07,69500,1985.0
주공5,강서구,37.67,80000,1995.0
엘리프 미아역 1단지,강북구,59.651,83466,0.0
가양도시개발9-2단지,강서구,34.44,70000,1993.0
주공2,구로구,47.34,79000,1987.0
주공2,구로구,41.3,74700,1987.0
중앙하이츠,중랑구,84.97,68700,1996.0
주공2,동대문구,39.98,65000,2001.0
예원(86-126),은평구,112.21,60000,2004.0
우장산숲아이파크,강서구,84.977,149500,2022.0
이문2차푸르지오,동대문구,84.98,90000,2007.0
SKVIEW,구로구,84.99,123000,2006.0
종암에스케이,성북구,84.72,104500,1999.0
정릉성원상떼빌,성북구,114.96,76000,2000.0
정릉풍림아이원,성북구,84.09,71200,2005.0
정릉힐스테이트3차,성북구,59.98,80000,2008.0
정릉힐스테이트3차,성북구,59.98,78000,2008.0
유원하나,서대문구,58.77,57300,1996.0
삼부컨비니언,성북구,111.71,106000,1998.0
브라운스톤구산,은평구,84.89,74000,2006.0
상계2차중앙하이츠,노원구,59.82,70750,1998.0
백련산힐스테이트3차,은평구,114.65,103500,2011.0
상계주공7(고층),노원구,41.3,60000,1988.0
벽산블루밍2단지,양천구,84.928,87000,2003.0
벽산블루밍,관악구,84.99,117000,2005.0
문래힐스테이트,영등포구,84.92,185000,2003.0
문래힐스테이트,영등포구,165.18,205000,2003.0
서울대입구삼성,관악구,59.78,83000,1999.0
문정시영,송파구,39.69,105000,1989.0
삼성,노원구,59.9,59000,1999.0
목동힐스테이트,양천구,84.98,218000,2016.0
미륭,노원구,51.48,101000,1986.0
미륭,노원구,51.48,97500,1986.0
상계주공2(저층),노원구,46.04,49800,1987.0
미성,노원구,84.94,85000,1989.0
미성,구로구,37.91,70000,1987.0
상계주공2(고층),노원구,59.28,70000,1987.0
상계주공16(고층),노원구,79.07,75000,1988.0
북한산래미안아파트(2단지),은평구,59.993,97000,2010.0
서울숲 한신 더 휴,성동구,84.95,195000,2003.0
서울숲 한신 더 휴,성동구,84.95,191000,2003.0
벽산,금천구,114.84,59800,2000.0
삼천리,구로구,84.75,69800,1998.0
방배아크로타워,서초구,62.58,85500,2007.0
방주기픈샘,양천구,80.395,54500,2004.0
블레스하임,마포구,23.59,41000,2019.0
상암월드컵파크2단지,마포구,59.92,128000,2003.0
삼환,영등포구,59.53,131000,1997.0
화곡3차보람,강서구,81.63,57500,2004.0
동진신안,노원구,134.74,150000,1993.0
힐스테이트세운센트럴2단지,중구,45.984,90000,2023.0
래미안엘파인아파트,동대문구,84.9,108000,2011.0
동부아파트,중랑구,54.0,58600,1999.0
더트루엘마곡HQ,강서구,48.329,64800,2024.0
마곡수명산파크3단지,강서구,84.96,121000,2007.0
둔촌푸르지오,강동구,84.92,168000,2010.0
동아에코빌,도봉구,84.967,67000,2003.0
홍익,은평구,84.5,54400,1995.0
르메이에르1차(344-1),동대문구,116.04,75000,2004.0
